hotel_url,hotel_name,compset_id,n_reviews,n_negative,location_net,location_mention_rate,cleanliness_net,cleanliness_mention_rate,breakfast_net,breakfast_mention_rate,service_net,service_mention_rate,noise_net,noise_mention_rate,room_net,room_mention_rate,value_net,value_mention_rate,neg_location_share,neg_cleanliness_share,neg_breakfast_share,neg_service_share,neg_noise_share,neg_room_share,neg_value_share
https://www.booking.com/hotel/be/b-amp-b-place-jourdan.en-gb.html,B&B Place Jourdan,geo0_low,24,0,0.667,0.625,0.75,0.333,0.769,0.542,0.857,0.583,1.0,0.167,0.4,0.417,,0.0,,,,,,,
https://www.booking.com/hotel/be/novoteltournoire.en-gb.html,Novotel Brussels City Centre,geo0_mid,298,30,0.781,0.383,0.667,0.171,0.431,0.195,0.677,0.218,-0.13,0.077,0.455,0.369,0.545,0.074,0.152,0.152,0.061,0.182,0.121,0.303,0.03
https://www.booking.com/hotel/be/sandton-pillows-brussels.en-gb.html,Pillows Grand Boutique Hotel Place Rouppe Brussels,geo0_low,74,0,0.9,0.27,1.0,0.135,0.455,0.149,0.941,0.459,-0.143,0.095,0.514,0.473,0.6,0.068,,,,,,,
https://www.booking.com/hotel/be/aloft-brussels-schuman.en-gb.html,Aloft Brussels Schuman,geo0_mid,223,0,0.863,0.229,0.722,0.161,-0.04,0.112,0.887,0.238,0.385,0.058,0.772,0.354,0.692,0.058,,,,,,,
https://www.booking.com/hotel/be/frites-at-the-european-center.en-gb.html,Brussels Cosy Appartments2,geo0_low,7,3,0.25,0.571,-0.333,0.429,,0.0,0.0,0.286,,0.0,-0.333,0.429,1.0,0.143,0.25,0.25,0.0,0.25,0.0,0.25,0.0
https://www.booking.com/hotel/be/mercure-brussels-centre-midi-brussels.en-gb.html,Mercure Hotel Brussels Centre Midi,geo0_high,97,26,0.371,0.361,0.263,0.196,0.667,0.155,0.333,0.309,-0.091,0.113,0.333,0.433,0.143,0.072,0.129,0.129,0.032,0.258,0.194,0.161,0.097
https://www.booking.com/hotel/be/nh-brussels-berlaymont.en-gb.html,NH Brussels EU Berlaymont,geo0_low,361,44,0.701,0.269,0.786,0.155,0.577,0.197,0.603,0.216,-0.133,0.083,0.235,0.33,0.5,0.083,0.0,0.033,0.0,0.167,0.1,0.567,0.133
https://www.booking.com/hotel/be/new-design-apartment-in-brussels.en-gb.html,NEW Design apartment in Brussels,geo0_mid,15,1,0.2,0.333,0.714,0.467,,0.0,1.0,0.267,-1.0,0.133,1.0,0.333,,0.0,0.333,0.333,0.0,0.0,0.333,0.0,0.0
https://www.booking.com/hotel/be/flat-brussels-center-bruxelles.en-gb.html,Flat Brussels center,geo0_low,11,6,-0.6,0.455,-1.0,0.182,,0.0,-1.0,0.182,-1.0,0.182,-1.0,0.364,-1.0,0.364,0.2,0.133,0.0,0.067,0.067,0.267,0.267
https://www.booking.com/hotel/be/tibrusselsboulevard.en-gb.html,Thon Hotel Brussels City Centre,geo0_low,274,45,0.655,0.401,0.377,0.193,0.333,0.197,0.431,0.237,-0.88,0.091,0.138,0.343,0.188,0.117,0.136,0.182,0.068,0.205,0.159,0.114,0.136
https://www.booking.com/hotel/be/motel-one-brussels.en-gb.html,Motel One Brussels,geo0_low,846,34,0.791,0.48,0.916,0.281,0.416,0.176,0.728,0.365,-0.026,0.091,0.301,0.511,0.82,0.131,0.127,0.018,0.091,0.255,0.109,0.345,0.055
https://www.booking.com/hotel/be/ramada-brussels.en-gb.html,Hotel Ramada Brussels Woluwe,geo0_mid,87,39,-0.05,0.23,0.167,0.138,0.083,0.138,0.0,0.299,-0.455,0.126,0.059,0.391,-0.091,0.126,0.195,0.073,0.073,0.244,0.098,0.195,0.122
https://www.booking.com/hotel/be/grandsablon.en-gb.html,NH Collection Brussels Grand Sablon,geo0_high,43,0,1.0,0.465,0.833,0.279,0.632,0.442,0.739,0.535,0.0,0.186,0.615,0.605,1.0,0.07,,,,,,,
https://www.booking.com/hotel/be/nh-brusselsbloom.en-gb.html,nhow Brussels Bloom,geo0_low,349,55,0.451,0.292,0.6,0.201,0.514,0.307,0.505,0.289,-0.714,0.06,0.521,0.473,0.312,0.138,0.143,0.127,0.127,0.159,0.111,0.19,0.143
https://www.booking.com/hotel/be/citadines-apart-bruxelles-sainte-catherine.en-gb.html,Citadines Sainte Catherine Brussels,geo0_low,147,23,0.694,0.755,0.077,0.354,0.0,0.122,0.591,0.449,-0.053,0.129,0.309,0.639,0.375,0.109,0.059,0.294,0.029,0.265,0.059,0.235,0.059
https://www.booking.com/hotel/be/renaissance-brussels.en-gb.html,Renaissance Brussels Hotel,geo0_mid,123,16,0.552,0.236,0.5,0.163,0.08,0.203,0.605,0.309,-0.778,0.073,0.4,0.325,0.143,0.114,0.091,0.091,0.091,0.273,0.182,0.091,0.182
