hotel_id,city,fix_weakest,most_criticized,reliability_aware,abstention
d1_europe:000100abb6c0,London,room,room,room,
d1_europe:000143798879,Paris,service,service,cleanliness,Insufficient evidence to recommend an action.
d1_europe:0024a3e654f1,London,room,room,value,
d1_europe:003892d6f23c,Paris,room,room,room,Insufficient evidence to recommend an action.
d1_europe:0051296f051d,Milan,breakfast,room,room,Insufficient evidence to recommend an action.
d1_europe:00795a8b6ae8,Barcelona,value,room,value,
d1_europe:00a8070a9eb3,Milan,value,room,value,
d1_europe:00b19bc83650,Amsterdam,value,room,value,
d1_europe:00c7ffcefee6,London,value,room,value,
d1_europe:00dcc4845586,Paris,value,room,value,
d1_europe:00f99d732f95,Paris,room,room,room,
d1_europe:01650eb9edd0,Vienna,value,room,value,
d1_europe:017bd3d2d7a1,Paris,cleanliness,room,cleanliness,
d1_europe:0186f339c6ac,Barcelona,breakfast,room,breakfast,
d1_europe:019a984099f7,Vienna,value,room,value,
d1_europe:01c15fcb4a26,London,noise,noise,noise,
d1_europe:01f1b4d075f3,London,value,room,value,
d1_europe:028680806c93,London,value,room,room,
d1_europe:030435f21a46,Vienna,breakfast,room,breakfast,
d1_europe:035a01afb001,London,cleanliness,room,cleanliness,
d1_europe:035b69564f87,Barcelona,noise,room,noise,
d1_europe:039055a05f47,London,value,room,value,
d1_europe:03a2b4057226,Paris,noise,room,noise,
d1_europe:04050da64945,Paris,value,room,room,
d1_europe:040e8233f6be,Paris,value,room,value,
d1_europe:044331f2d396,London,breakfast,room,breakfast,
d1_europe:04f83ac4904f,London,room,room,room,
d1_europe:04fa6c1ecd33,Paris,noise,room,room,
d1_europe:05025a52d56d,Barcelona,noise,room,noise,
d1_europe:050e30592212,Paris,breakfast,room,breakfast,
d1_europe:0587de40fd9d,Paris,room,room,room,
d1_europe:05abf8a796dc,Milan,value,room,value,
d1_europe:05d70c4a5e95,Paris,value,room,breakfast,
d1_europe:05d7dbae5b1a,Amsterdam,noise,room,value,
d1_europe:06771576c37d,London,value,room,value,
d1_europe:06a10508c670,Barcelona,room,room,room,
d1_europe:0725041a236b,Barcelona,noise,room,breakfast,
d1_europe:07d42c0098c1,London,value,room,value,
d1_europe:084f15e41c94,London,noise,room,noise,
d1_europe:08e3e345da31,Amsterdam,value,room,value,
d1_europe:094a9d37e078,Paris,room,room,room,
d1_europe:094ebfee0851,Amsterdam,noise,room,value,
d1_europe:09525392940c,Paris,cleanliness,room,cleanliness,Insufficient evidence to recommend an action.
d1_europe:09bc9d0623fb,London,breakfast,room,breakfast,
