delta,prior,k,n_events,hotels
0.1,5,5,421,316
0.1,5,10,683,464
0.1,5,20,689,467
0.1,10,5,316,244
0.1,10,10,511,364
0.1,10,20,514,366
0.1,20,5,202,170
0.1,20,10,320,251
0.1,20,20,321,252
0.15,5,5,435,326
0.15,5,10,689,474
0.15,5,20,695,477
0.15,10,5,312,246
0.15,10,10,498,362
0.15,10,20,501,364
0.15,20,5,196,160
0.15,20,10,314,240
0.15,20,20,315,241
0.2,5,5,409,308
0.2,5,10,651,450
0.2,5,20,656,453
0.2,10,5,284,227
0.2,10,10,461,344
0.2,10,20,464,346
0.2,20,5,189,164
0.2,20,10,296,240
0.2,20,20,297,241
