hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect,pre_ok_index,post_ok_index,pre_present,post_present,has_2pre_2post,peer_count,improving_peer_count,peer_exposure,mean_peer_delta,max_peer_delta,peer_set_available
000100abb6c04aba,London,noise,2016Q2,2016Q1,0.16161616161616166,23,17,3,9,True,True,2,2,True,9,2,0.2222222222222222,0.06232313842945145,0.531986531986532,True
000100abb6c04aba,London,service,2017Q1,2016Q4,0.17194570135746612,42,41,6,9,True,True,2,2,True,10,1,0.1,0.006022523606316432,0.23636363636363655,True
000100abb6c04aba,London,value,2016Q1,2015Q4,0.3851851851851852,30,17,2,9,True,True,2,2,True,9,4,0.4444444444444444,0.12402730525820968,0.4396284829721362,True
000100abb6c04aba,London,value,2017Q1,2016Q4,0.3083003952569169,23,13,6,9,True,True,2,2,True,10,2,0.2,0.033553191906133095,0.463157894736842,True
00014379887908bc,Paris,room,2016Q4,2016Q3,0.20952380952380956,5,4,5,9,True,True,2,2,True,10,2,0.2,-0.07810769442445628,0.30000000000000004,True
0024a3e654f13a6e,London,breakfast,2017Q1,2016Q4,0.1858974358974359,29,14,6,9,True,True,2,2,True,10,2,0.2,-0.03657140599631216,0.42000000000000004,True
0024a3e654f13a6e,London,cleanliness,2016Q2,2016Q1,0.20350877192982453,20,9,3,9,True,True,2,2,True,9,3,0.3333333333333333,0.06338763481692018,0.37362637362637374,True
0024a3e654f13a6e,London,cleanliness,2017Q1,2016Q4,0.19259259259259265,25,17,6,9,True,True,2,2,True,10,0,0.0,-0.01978087758193715,0.14973262032085566,True
0024a3e654f13a6e,London,noise,2016Q2,2016Q1,0.2592592592592593,17,8,3,9,True,True,2,2,True,9,3,0.3333333333333333,0.1133214691910344,0.4444444444444444,True
0024a3e654f13a6e,London,noise,2016Q3,2016Q2,0.18074074074074065,15,17,4,9,True,True,2,2,True,9,2,0.2222222222222222,-0.007187192274911565,0.2255639097744362,True
0024a3e654f13a6e,London,room,2016Q3,2016Q2,0.1611111111111112,70,71,4,9,True,True,2,2,True,9,0,0.0,-0.08731307970112129,-0.0071428571428571175,True
0024a3e654f13a6e,London,service,2016Q2,2016Q1,0.288888888888889,50,26,3,9,True,True,2,2,True,9,2,0.2222222222222222,-0.0017052286065427265,0.2906976744186047,True
0024a3e654f13a6e,London,value,2016Q4,2016Q3,0.6041189931350114,9,13,5,9,True,True,2,2,True,10,0,0.0,-0.10648458266879315,0.08030303030303032,True
00795a8b6ae87c5d,Barcelona,breakfast,2016Q1,2015Q4,0.17391304347826098,13,13,2,9,True,True,2,2,True,10,1,0.1,0.04929979864190387,0.4999999999999999,True
00795a8b6ae87c5d,Barcelona,cleanliness,2016Q2,2016Q1,0.24269005847953218,26,9,3,9,True,True,2,2,True,10,1,0.1,0.04386016352355765,0.7222222222222222,True
00795a8b6ae87c5d,Barcelona,noise,2016Q2,2016Q1,0.3928571428571429,14,4,3,9,True,True,2,2,True,10,1,0.1,-0.12026541635060903,0.4369747899159663,True
00795a8b6ae87c5d,Barcelona,noise,2016Q4,2016Q3,0.1876750700280112,11,24,5,9,True,True,2,2,True,10,1,0.1,-0.037983166259028346,0.16748768472906395,True
