hotel_id,city,aspect,period,prev_period,delta_q,mentions,prev_mentions,period_pos,n_periods_hotel_aspect
000100abb6c04aba,London,breakfast,2015Q4,2015Q3,0.26203208556149726,34,24,1,9
000100abb6c04aba,London,breakfast,2016Q1,2015Q4,-0.029090909090909056,40,34,2,9
000100abb6c04aba,London,breakfast,2016Q2,2016Q1,0.03525423728813559,49,40,3,9
000100abb6c04aba,London,breakfast,2016Q3,2016Q2,-0.01729505361466621,39,49,4,9
000100abb6c04aba,London,breakfast,2016Q4,2016Q3,-0.0252319109461967,45,39,5,9
000100abb6c04aba,London,breakfast,2017Q1,2016Q4,0.012518628912071561,51,45,6,9
000100abb6c04aba,London,breakfast,2017Q2,2017Q1,0.09888108248763983,53,51,7,9
000100abb6c04aba,London,breakfast,2017Q3,2017Q2,0.015873015873015928,18,53,8,9
000100abb6c04aba,London,cleanliness,2015Q4,2015Q3,0.051724137931034475,22,19,1,9
000100abb6c04aba,London,cleanliness,2016Q1,2015Q4,0.0,42,22,2,9
000100abb6c04aba,London,cleanliness,2016Q2,2016Q1,-0.11111111111111116,26,42,3,9
000100abb6c04aba,London,cleanliness,2016Q3,2016Q2,0.011111111111111072,30,26,4,9
000100abb6c04aba,London,cleanliness,2016Q4,2016Q3,-0.036363636363636376,34,30,5,9
000100abb6c04aba,London,cleanliness,2017Q1,2016Q4,-0.0870406189555124,37,34,6,9
000100abb6c04aba,London,cleanliness,2017Q2,2017Q1,0.03590425531914887,22,37,7,9
000100abb6c04aba,London,cleanliness,2017Q3,2017Q2,-0.09510869565217384,13,22,8,9
000100abb6c04aba,London,location,2015Q4,2015Q3,-0.04991087344028511,67,41,1,9
000100abb6c04aba,London,location,2016Q1,2015Q4,0.026794258373205704,85,67,2,9
000100abb6c04aba,London,location,2016Q2,2016Q1,-0.1289113193943765,63,85,3,9
000100abb6c04aba,London,location,2016Q3,2016Q2,0.07769372316499701,57,63,4,9
000100abb6c04aba,London,location,2016Q4,2016Q3,-0.13971807628524036,62,57,5,9
000100abb6c04aba,London,location,2017Q1,2016Q4,0.11681887366818855,63,62,6,9
000100abb6c04aba,London,location,2017Q2,2017Q1,-0.09570776255707747,65,63,7,9
000100abb6c04aba,London,location,2017Q3,2017Q2,0.006666666666666599,26,65,8,9
000100abb6c04aba,London,noise,2015Q4,2015Q3,0.023809523809523725,18,14,1,9
000100abb6c04aba,London,noise,2016Q1,2015Q4,-0.4126984126984127,17,18,2,9
000100abb6c04aba,London,noise,2016Q2,2016Q1,0.16161616161616166,23,17,3,9
000100abb6c04aba,London,noise,2016Q3,2016Q2,-0.046060606060606024,15,23,4,9
000100abb6c04aba,London,noise,2016Q4,2016Q3,0.10666666666666658,20,15,5,9
000100abb6c04aba,London,noise,2017Q1,2016Q4,-0.2666666666666666,20,20,6,9
000100abb6c04aba,London,noise,2017Q2,2017Q1,0.6,20,20,7,9
000100abb6c04aba,London,noise,2017Q3,2017Q2,-0.4,10,20,8,9
000100abb6c04aba,London,room,2015Q4,2015Q3,0.00498132004981322,89,63,1,9
000100abb6c04aba,London,room,2016Q1,2015Q4,-0.07038123167155419,114,89,2,9
000100abb6c04aba,London,room,2016Q2,2016Q1,0.035076730347635365,93,114,3,9
000100abb6c04aba,London,room,2016Q3,2016Q2,-0.10908052541404911,92,93,4,9
000100abb6c04aba,London,room,2016Q4,2016Q3,-0.04540763673890602,104,92,5,9
000100abb6c04aba,London,room,2017Q1,2016Q4,0.10638982778046036,99,104,6,9
000100abb6c04aba,London,room,2017Q2,2017Q1,0.03610054449168343,113,99,7,9
000100abb6c04aba,London,room,2017Q3,2017Q2,-0.11178861788617889,46,113,8,9
000100abb6c04aba,London,service,2015Q4,2015Q3,0.027210884353741527,47,39,1,9
000100abb6c04aba,London,service,2016Q1,2015Q4,0.0,50,47,2,9
000100abb6c04aba,London,service,2016Q2,2016Q1,-0.08333333333333326,46,50,3,9
000100abb6c04aba,London,service,2016Q3,2016Q2,-0.05769230769230771,42,46,4,9
000100abb6c04aba,London,service,2016Q4,2016Q3,-0.13348416289592757,41,42,5,9
000100abb6c04aba,London,service,2017Q1,2016Q4,0.17194570135746612,42,41,6,9
000100abb6c04aba,London,service,2017Q2,2017Q1,-0.14880201765447665,51,42,7,9
000100abb6c04aba,London,service,2017Q3,2017Q2,0.02914389799635697,17,51,8,9
000100abb6c04aba,London,value,2015Q4,2015Q3,-0.3616557734204794,17,7,1,9
000100abb6c04aba,London,value,2016Q1,2015Q4,0.3851851851851852,30,17,2,9
000100abb6c04aba,London,value,2016Q2,2016Q1,-0.16296296296296298,17,30,3,9
000100abb6c04aba,London,value,2016Q3,2016Q2,-0.07407407407407407,17,17,4,9
000100abb6c04aba,London,value,2016Q4,2016Q3,-0.18035426731078896,13,17,5,9
000100abb6c04aba,London,value,2017Q1,2016Q4,0.3083003952569169,23,13,6,9
000100abb6c04aba,London,value,2017Q2,2017Q1,0.03952569169960474,13,23,7,9
000100abb6c04aba,London,value,2017Q3,2017Q2,-0.13043478260869557,2,13,8,9
00014379887908bc,Paris,breakfast,2015Q4,2015Q3,-0.09090909090909083,0,1,1,9
00014379887908bc,Paris,breakfast,2016Q1,2015Q4,0.0,0,0,2,9
00014379887908bc,Paris,breakfast,2016Q2,2016Q1,-0.16666666666666663,2,0,3,9
00014379887908bc,Paris,breakfast,2016Q3,2016Q2,0.07575757575757569,1,2,4,9
00014379887908bc,Paris,breakfast,2016Q4,2016Q3,0.09090909090909094,0,1,5,9
00014379887908bc,Paris,breakfast,2017Q1,2016Q4,0.0,2,0,6,9
00014379887908bc,Paris,breakfast,2017Q2,2017Q1,0.0,0,2,7,9
00014379887908bc,Paris,breakfast,2017Q3,2017Q2,0.0,0,0,8,9
00014379887908bc,Paris,cleanliness,2015Q4,2015Q3,0.0,0,0,1,9
